measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1994,0.0006258323424022,0.0012356268313706,0.0002527021666388
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1994,0.0010235002379774,0.0020003606004545,0.0004111114828759
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1994,295.19417354581,563.5832300025601,116.37919758048
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1994,517.36318752314,995.98997174526,205.31083884899002
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1995,27.44200761594932,52.24006324101602,10.828108742869109
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1995,166.35706889812866,319.7645228426911,66.28777678557178
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1995,0.0006191898113899,0.001221286967475,0.0002514894438554
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1995,0.0010208244410667,0.0019972629714509,0.0004097330295878
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1995,291.96623154495,555.80242574106,115.20447587723001
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1995,515.99098262598,991.81604631161,205.60530013079
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1996,29.672905097053043,56.75520733630333,11.721174081656176
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1996,184.4047871824368,354.47660460976704,73.3648573374918
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1996,0.000612751246899,0.0012082305845626,0.0002495718964388
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1996,0.0010256448647359,0.0020056986602624,0.000412020974256
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1996,289.40033930453,553.5344856428201,114.31680670241
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1996,518.63433685944,996.95751706322,206.33701931161997
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1997,31.603773839976554,60.70013833005397,12.491088828943434
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1997,204.33188799638964,392.6356463758434,81.69099104235274
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1997,0.000606315250747,0.0011943156790791,0.0002473862990498
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1997,0.0010376159781159,0.0020271750789204,0.0004163385553895
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1997,287.22993310756,551.67135293531,113.52487924210001
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1997,524.9609046340499,1008.74301184297,209.87706313761
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1998,32.990553979641376,63.203214440878526,13.041988777870976
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1998,223.10740927747108,428.1457561436165,89.59558329610309
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1998,0.0005991850425747,0.0011778864681815,0.0002445926714763
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1998,0.0010510695056293,0.002046383069092,0.000420459192679
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1998,285.10774348547,546.20864691715,112.71020163275
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1998,532.52207386447,1021.91615561417,213.85047668496998
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1999,34.67854914250728,66.31438574442727,13.711531259852343
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1999,244.19847328621088,467.882754794888,98.32105898125867
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1999,0.0005917282322248,0.0011581415161921,0.0002409891326354
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1999,0.0010623980203725,0.0020639907277915,0.0004239977243174
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1999,282.69321302462,540.5827879018,111.77390413326
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1999,538.87181893989,1032.47505086333,216.96469752792999
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2000,36.5612042370007,69.8711298297714,14.464825132908931
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2000,265.72377076799825,508.76590746646167,107.3210988531655
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2000,0.0005823780076457,0.0011314521396846,0.0002368706024149
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2000,0.0010645892544823,0.0020655747758446,0.0004251338161074
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2000,279.65137032072,534.43417990533,110.63935814711999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2000,541.54742143337,1036.8694697706499,218.72135933247
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2001,38.23280256452412,73.06838723305837,15.088576558416747
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2001,284.8298356157908,544.5881294587169,115.19059165462706
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2001,0.0005690303338824,0.0011118194038116,0.0002323945310948
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2001,0.0010541150692471,0.0020446176884258,0.000419483381319
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2001,274.75676177593,525.09970804424,108.43276341048
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2001,538.1942143054799,1029.0150251306,217.65595530719003
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2002,39.69294313072521,75.80460551318384,15.699083788679308
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2002,301.4061915930346,574.9451006935647,121.97811393444424
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2002,0.0005515508335928,0.0010832278983757,0.0002259416715076
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2002,0.0010335298267088,0.0020035632713196,0.0004112640642689
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2002,267.80092727139,511.4396173903,105.91880733241
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2002,529.6698857567201,1010.3677837246601,214.35569498754998
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2003,41.12497984522091,78.48674172250328,16.30527734711257
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2003,316.7905372610138,602.8294952828119,128.2252489070164
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2003,0.0005321912804115,0.0010497139938935,0.0002180945091997
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2003,0.0010071286459484,0.0019498931810259,0.0004012996636468
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2003,259.97849213402,496.16716755425006,103.07655917359999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2003,518.3106475657801,986.30769963418,209.7932355237
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2004,43.69500263152578,83.37922584021739,17.352515494556798
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2004,338.0857317632712,641.996862287598,136.74915697747258
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2004,0.0005142196379105,0.0010164548503802,0.0002100480180754
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2004,0.000980654427856,0.0018965037785451,0.0003917670490482
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2004,252.48093615537,481.7865597486,100.26728671152999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2004,506.46644854033,961.7379270075501,204.85590892596
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2005,47.32981761272039,90.4206981880062,18.736488564936664
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2005,362.3889426321709,688.0043486874174,146.37203124017503
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2005,0.0004997373688816,0.0009901680095264,0.00020340571511
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2005,0.0009579876390688,0.0018539457874848,0.0003846000147409
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2005,246.50710625271,470.93662684398004,97.58494349739999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2005,496.49936206525,942.6162888422899,200.54039068379
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2006,51.91395390745426,99.66882501069318,20.57119711773887
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2006,391.19091444386817,745.2685790391339,158.05701399785
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2006,0.0004879686637061,0.0009706284360587,0.0001974507772518
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2006,0.0009371930040232,0.001822242553503,0.0003769410817548
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2006,241.84875466632,464.32181318462,95.83393346977999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2006,487.75033802799,929.22659480666,197.07094198428
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2007,55.71328233581118,107.48309395955914,22.044784998243934
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2007,414.38097301818266,790.7107111974651,167.223404508991
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2007,0.0004769915167071,0.0009514223083719,0.0001918977799096
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2007,0.0009151317048127,0.0017848470076143,0.0003693693634661
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2007,237.52473430753,458.23710729183995,93.98444105326999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2007,478.50731284664,913.07488106494,193.10158319733
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2008,60.39235413188745,116.16079995297645,23.791654972711363
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2008,441.1296714337291,842.5239255370527,177.7737524574334
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2008,0.000466965123127,0.0009325857716761,0.0001869411035843
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2008,0.0008937844799081,0.0017470759225858,0.0003614980159473
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2008,233.58724345694,449.29000448489,92.02203130246
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2008,469.54558423654,896.79614514208,189.22526836213
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2009,63.81382670623872,122.3406685277121,25.054668123039228
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2009,461.4171909179698,881.8709014012483,185.55972065863705
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2009,0.0004578198327571,0.0009134599480617,0.0001826066307293
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2009,0.0008746720793533,0.0017119002041525,0.0003541677235482
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2009,230.07970212651003,441.09726724886,90.33419364057
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2009,461.63542835499004,882.28800169377,185.64748522105
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2010,65.60659955421986,125.35997191463647,25.664133190826
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2010,477.3477707145358,913.8793655866384,191.29529253459805
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2010,0.0004502248027353,0.0008967658082197,0.0001789970459845
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2010,0.0008605745807673,0.0016898281594729,0.0003474773010624
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2010,227.04217977233998,433.82832631305996,88.81485675533
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2010,455.56050730544,872.16778404438,182.56413009273
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2011,65.29586299566782,124.662096232123,25.635918102496102
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2011,480.8266277843269,920.9571311506852,191.74494608972668
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2011,0.0004429011618197,0.0008799397592719,0.0001759979992305
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2011,0.0008520441582734,0.0016735511513589,0.000342680642517
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2011,224.05815949573002,427.76921169574,87.96784916388
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2011,450.79536752368995,863.4363914572001,179.76902369496
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2012,60.49145094219221,115.22108146537354,23.85279356318865
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2012,453.90325292645286,868.2321475808908,180.13140768039042
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2012,0.0004353247057842,0.0008655651679721,0.0001727931666623
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2012,0.0008477408946667,0.0016641861797855,0.0003394415637012
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2012,220.96417505964,420.88147695128,87.1298798502
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2012,446.37154899748003,853.8254046570901,177.14245260635
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2013,54.068176676024535,102.6860799985568,21.45479080251961
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2013,414.7817961554383,791.2211008485285,163.90823811815164
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2013,0.0004286031983917,0.0008516293982886,0.0001699075539743
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2013,0.0008460997497681,0.0016585256621496,0.0003371411306355
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2013,218.17250501581998,414.35240988021,86.57302209436999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2013,442.42765418814,843.95722964996,174.83297956873
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2014,49.02132242106865,92.92012805836627,19.56752431423012
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2014,382.96602110517694,729.0774080249893,151.21123786443866
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2014,0.0004234368873808,0.0008390264575613,0.0001676153610978
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2014,0.0008448683362123,0.001652529660428,0.0003349830800803
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2014,216.08198357238,409.58433173606,86.25204826384001
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2014,439.07596438278,835.89756896567,173.36582472576
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2015,49.49567781150091,93.92471563246782,19.835139415861804
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2015,385.0901712084838,733.3149151140215,152.0980877602977
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2015,0.0004208555931129,0.0008324577782674,0.0001663005078046
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2015,0.0008419427998214,0.0016436980303142,0.0003326427930955
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2015,215.08886141462003,408.16008664468,86.19575974301
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2015,436.44191152816,831.10239427847,172.3803543299
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2016,57.93429630111531,110.01213805207348,23.13375117356684
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2016,440.3369691187249,839.1147060690669,173.1556027419784
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2016,0.0004204007638304,0.0008334305619168,0.0001666572339206
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2016,0.0008367888368046,0.0016409346487558,0.0003307811170346
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2016,215.03886578706997,408.33991089788,85.86719665857001
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2016,433.82816880875004,826.71140940767,170.59611916499
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2017,65.19743109729991,124.61488511093944,25.99711911712909
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2017,489.69912377904245,931.8608048050072,192.6114898383608
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2017,0.0004210567752173,0.0008386373046325,0.0001674863922168
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2017,0.0008318684415539,0.001636466793681,0.0003285374123876
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2017,215.33570191743001,411.58115132907005,85.86393357375
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2017,431.01687507311004,820.19287474036,169.53022462577002
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2018,71.20176184665863,137.02919942882886,28.37517570695526
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2018,531.4811656167599,1009.0315460600804,209.67653615595836
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2018,0.0004222167533438,0.0008444109397753,0.0001683948982439
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2018,0.000828157393973,0.001630252282185,0.0003260960619496
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2018,215.67514443074,415.07108267474996,85.95040291313
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2018,428.75739209142,814.0076492167801,169.15061274215
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2019,77.63721785657667,150.54099270564254,30.88253769119888
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2019,571.0535210986972,1083.263643518067,225.91882544895424
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2019,0.0004229177710793,0.0008416860529977,0.0001689915787905
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2019,0.000827284652025,0.0016307288515233,0.0003245986123034
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2019,215.74337169111,418.33314279809,85.81841276416
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2019,427.84067731675,811.59511995247,169.26130341113
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2020,81.31323232673178,156.70374458212723,31.958861733674063
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2020,612.2303414062003,1177.6244806384084,240.19714765935805
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2020,0.000414875618416,0.0008281054085731,0.0001628533555588
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2020,0.0008369559959,0.0016434432474026,0.0003322237297961
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2020,213.11468915401,410.70646019456,83.76131029596999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2020,436.81340675306,840.2101733180499,171.37558736547
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,2021,89.41938364825745,168.97340021041168,35.69387705002087
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,2021,552.5805411132891,1034.581569026622,220.44282593155307
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,2021,0.0004347845687497,0.0008611262306307,0.0001695639962069
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,2021,0.0007254502021834,0.001425057407672,0.0002866005508696
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,2021,220.64721965537998,416.95110647153996,88.07659378182
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,2021,374.93039240808,701.9720109431,149.57225070493
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1990,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1990,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1990,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1990,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1990,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1990,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1991,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1991,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1991,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1991,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1991,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1991,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1992,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1992,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1992,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1992,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1992,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1992,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1993,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1993,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1993,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1993,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1993,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1993,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1994,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1994,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1994,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1994,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1994,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1994,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1995,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1995,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1995,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1995,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Rate,1995,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Rate,1995,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Number,1996,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Number,1996,0.0,0.0,0.0
Incidence,Italy,Male,5-9 years,Atrial fibrillation and flutter,Percent,1996,0.0,0.0,0.0
Incidence,Italy,Female,5-9 years,Atrial fibrillation and flutter,Percent,1996,0.0,0.0,0.0
